,AttendanceDate,Center,Best Interest,In Attendance,Other,Sick,Unexcused Absence,FD,PD
2894,11/30/2018,Cesar Chavez,2,66,2,25,0,0,95
2895,11/30/2018,Chynoweth,0,32,0,2,0,34,0
2896,11/30/2018,Colonial Acres,1,37,1,9,0,0,48
2897,11/30/2018,Corvallis,0,42,0,5,0,0,47
2898,11/30/2018,Cox,2,35,1,10,0,0,48
2899,11/30/2018,Cureton,1,48,1,13,1,0,64
2900,11/30/2018,Dayton,1,42,1,4,0,0,48
2901,11/30/2018,Decoto,6,78,2,17,0,65,38
2902,11/30/2018,Del Rey,2,39,0,6,0,0,47
2903,11/30/2018,Delaine Eastin,1,25,0,3,0,24,5
2904,11/30/2018,Dorsa,0,40,0,7,0,0,47
2905,11/30/2018,Eden Palms,1,35,0,5,1,42,0
2906,11/30/2018,Eden Youth,1,63,0,13,2,49,30
2907,11/30/2018,Educare,1,53,0,19,1,49,25
2908,11/30/2018,Emerald Vista,2,63,1,9,0,30,45
2909,11/30/2018,Esther Hobbs,4,42,1,10,0,57,0
2910,11/30/2018,FH,1,89,1,3,0,94,0
2911,11/30/2018,Foxdale,2,33,2,3,0,40,0
2912,11/30/2018,Glen Berry,2,22,0,3,0,20,7
2913,11/30/2018,Goss,0,38,0,6,0,0,44
2914,11/30/2018,Graham,0,49,0,7,0,24,32
2915,11/30/2018,Grant,1,39,0,6,0,0,46
2916,11/30/2018,Guy Emanuele,1,34,0,6,0,0,41
2917,11/30/2018,Hesperian,1,40,0,4,4,0,49
2918,11/30/2018,Hillview,2,35,1,7,3,0,48
2919,11/30/2018,Holbrook,0,64,1,14,0,47,32
2920,11/30/2018,Hubbard,1,50,0,6,0,0,57
2921,11/30/2018,Kitayama,0,29,0,14,1,0,44
2922,11/30/2018,Linda Vista,0,96,1,10,1,76,32
2923,11/30/2018,Logan,1,25,0,1,0,27,0
2924,11/30/2018,Marie Kaiser,0,21,1,1,0,23,0
2925,11/30/2018,Meadowfair,0,38,0,6,1,0,45
2926,11/30/2018,Meyer,0,31,0,11,0,0,42
2927,11/30/2018,Paul Miller,2,70,2,11,0,43,42
2928,11/30/2018,Pioneer,2,31,0,10,0,0,43
2929,11/30/2018,Reach,1,16,2,3,0,22,0
2930,11/30/2018,Royal Sunset,0,35,0,11,0,0,46
2931,11/30/2018,Russo,0,32,0,12,0,0,44
2932,11/30/2018,Ryan,0,23,0,0,0,23,0
2933,11/30/2018,Schilling,2,46,0,7,0,24,31
2934,11/30/2018,Searles,1,38,0,4,0,0,43
2935,11/30/2018,Sharon Jones,1,51,0,5,0,25,32
2936,11/30/2018,Unidos,0,37,0,6,0,43,0
2937,11/30/2018,Valley Medical Center,0,55,2,4,2,63,0
2938,11/30/2018,Washington Hospital,2,53,0,3,1,59,0
2939,11/5/2018,Amador,0,74,1,8,4,56,31
2940,11/5/2018,Arbuckle,0,48,1,4,0,53,0
2941,11/5/2018,Baldwin Park,1,65,1,10,0,44,33
2942,11/5/2018,Bay,0,41,0,6,0,0,47
2943,11/5/2018,Carlson,0,29,0,2,0,19,12
2944,11/5/2018,Castlemont,1,63,0,3,0,67,0
2945,11/5/2018,Cesar Chavez,3,78,1,13,1,0,96
2946,11/5/2018,Chynoweth,0,31,0,5,0,36,0
2947,11/5/2018,Colonial Acres,0,40,0,8,0,0,48
2948,11/5/2018,Corvallis,0,46,0,2,0,0,48
2949,11/5/2018,Cox,0,42,0,6,0,0,48
2950,11/5/2018,Cureton,3,22,0,9,0,0,34
2951,11/5/2018,Dayton,2,45,1,0,0,0,48
2952,11/5/2018,Decoto,2,91,0,11,0,65,39
2953,11/5/2018,Del Rey,0,44,0,2,0,0,46
2954,11/5/2018,Delaine Eastin,0,23,3,3,0,22,7
2955,11/5/2018,Dorsa,3,40,0,6,0,0,49
2956,11/5/2018,Eden Palms,1,38,0,4,1,44,0
2957,11/5/2018,Eden Youth,2,68,0,7,2,48,31
2958,11/5/2018,Educare,2,55,0,5,1,44,19
2959,11/5/2018,Emerald Vista,2,68,1,7,2,32,48
2960,11/5/2018,Esther Hobbs,0,50,0,6,0,56,0
2961,11/5/2018,FH,0,94,1,2,0,97,0
2962,11/5/2018,Foxdale,1,31,0,5,0,37,0
2963,11/5/2018,Glen Berry,0,28,0,2,0,22,8
2964,11/5/2018,Goss,0,39,0,5,0,0,44
2965,11/5/2018,Graham,0,49,1,6,0,24,32
2966,11/5/2018,Grant,1,40,1,6,0,0,48
2967,11/5/2018,Guy Emanuele,2,36,0,3,0,0,41
2968,11/5/2018,Hesperian,0,47,0,2,0,0,49
2969,11/5/2018,Hillview,1,43,0,3,1,0,48
2970,11/5/2018,Holbrook,1,65,2,11,1,47,33
2971,11/5/2018,Kitayama,1,38,0,5,0,0,44
2972,11/5/2018,Linda Vista,1,100,0,5,0,75,31
2973,11/5/2018,Logan,1,23,0,3,0,27,0
2974,11/5/2018,Marie Kaiser,1,21,0,1,1,24,0
2975,11/5/2018,Meadowfair,0,35,0,5,0,0,40
2976,11/5/2018,Meyer,0,37,0,5,1,0,43
2977,11/5/2018,Paul Miller,0,78,0,7,1,44,42
2978,11/5/2018,Pioneer,1,38,2,3,0,0,44
2979,11/5/2018,Reach,0,17,1,4,0,22,0
2980,11/5/2018,Royal Sunset,2,38,1,6,1,0,48
2981,11/5/2018,Russo,0,36,0,7,0,0,43
2982,11/5/2018,Ryan,0,21,0,1,0,22,0
2983,11/5/2018,Schilling,1,50,0,4,0,24,31
2984,11/5/2018,Searles,1,42,0,0,0,0,43
2985,11/5/2018,Sharon Jones,0,46,1,9,0,24,32
2986,11/5/2018,Unidos,0,40,0,4,0,44,0
2987,11/5/2018,Valley Medical Center,3,56,1,2,0,62,0
2988,11/5/2018,Washington Hospital,0,59,0,1,0,60,0
2989,11/6/2018,Amador,1,77,2,3,4,56,31
2990,11/6/2018,Arbuckle,4,70,1,10,0,54,31
2991,11/6/2018,Baldwin Park,1,66,0,13,0,48,32
2992,11/6/2018,Bay,0,47,0,0,0,0,47
2993,11/6/2018,Carlson,0,29,0,2,0,20,11
2994,11/6/2018,Castlemont,0,63,0,5,0,68,0
2995,11/6/2018,Cesar Chavez,2,82,2,10,0,0,96
2996,11/6/2018,Chynoweth,0,34,0,2,0,36,0
2997,11/6/2018,Colonial Acres,0,43,1,4,0,0,48
2998,11/6/2018,Corvallis,1,45,1,1,0,0,48
2999,11/6/2018,Cox,0,45,0,3,0,0,48
3000,11/6/2018,Cureton,1,52,0,10,0,0,63
3001,11/6/2018,Dayton,0,45,1,2,0,0,48
3002,11/6/2018,Decoto,2,93,1,5,3,65,39
3003,11/6/2018,Del Rey,0,40,0,6,0,0,46
3004,11/6/2018,Delaine Eastin,0,26,1,4,0,24,7
3005,11/6/2018,Dorsa,3,39,0,7,0,0,49
3006,11/6/2018,Eden Palms,1,38,0,2,3,44,0
3007,11/6/2018,Eden Youth,2,70,0,6,1,48,31
3008,11/6/2018,Educare,2,52,0,5,1,41,19
3009,11/6/2018,Emerald Vista,5,67,0,5,2,31,48
3010,11/6/2018,Esther Hobbs,1,44,0,3,1,49,0
3011,11/6/2018,FH,0,96,0,2,0,98,0
3012,11/6/2018,Foxdale,0,31,2,6,0,39,0
3013,11/6/2018,Glen Berry,0,28,0,3,0,23,8
3014,11/6/2018,Goss,0,38,0,5,0,0,43
3015,11/6/2018,Graham,0,51,0,5,0,24,32
3016,11/6/2018,Grant,1,41,1,6,0,0,49
3017,11/6/2018,Guy Emanuele,0,34,0,6,1,0,41
3018,11/6/2018,Hesperian,1,43,0,5,0,0,49
3019,11/6/2018,Hillview,2,38,0,8,0,0,48
3020,11/6/2018,Holbrook,0,73,1,5,1,47,33
3021,11/6/2018,Hubbard,1,50,2,5,0,0,58
3022,11/6/2018,Kitayama,0,41,0,3,0,0,44
3023,11/6/2018,Linda Vista,0,108,0,1,0,78,31
3024,11/6/2018,Logan,0,23,1,3,0,27,0
3025,11/6/2018,Marie Kaiser,0,21,0,2,1,24,0
3026,11/6/2018,Meadowfair,0,38,0,2,0,0,40
3027,11/6/2018,Meyer,0,36,1,6,0,0,43
3028,11/6/2018,Paul Miller,1,80,0,4,1,44,42
3029,11/6/2018,Pioneer,0,39,2,3,0,0,44
3030,11/6/2018,Reach,0,18,0,3,0,21,0
3031,11/6/2018,Royal Sunset,2,34,1,10,1,0,48
3032,11/6/2018,Russo,0,39,0,4,0,0,43
3033,11/6/2018,Ryan,0,22,0,0,0,22,0
3034,11/6/2018,Schilling,0,49,0,5,0,23,31
3035,11/6/2018,Searles,1,40,0,2,0,0,43
3036,11/6/2018,Sharon Jones,0,52,0,4,0,24,32
3037,11/6/2018,Unidos,0,41,1,1,0,43,0
3038,11/6/2018,Valley Medical Center,2,56,1,4,0,63,0
3039,11/6/2018,Washington Hospital,0,56,1,2,1,60,0
3040,11/7/2018,Amador,1,80,1,3,1,55,31
3041,11/7/2018,Arbuckle,2,76,1,5,0,53,31
3042,11/7/2018,Baldwin Park,1,65,0,14,0,48,32
3043,11/7/2018,Bay,0,41,0,6,0,0,47
3044,11/7/2018,Carlson,0,27,1,4,0,20,12
3045,11/7/2018,Castlemont,0,67,0,1,0,68,0
3046,11/7/2018,Cesar Chavez,3,80,2,10,1,0,96
3047,11/7/2018,Chynoweth,0,33,0,3,0,36,0
3048,11/7/2018,Colonial Acres,0,44,1,3,0,0,48
3049,11/7/2018,Corvallis,0,47,0,1,0,0,48
3050,11/7/2018,Cox,2,42,0,4,0,0,48
3051,11/7/2018,Cureton,1,51,0,11,0,0,63
3052,11/7/2018,Dayton,0,42,1,5,0,0,48
3053,11/7/2018,Decoto,4,90,1,8,1,65,39
3054,11/7/2018,Del Rey,0,44,0,2,0,0,46
3055,11/7/2018,Delaine Eastin,0,25,2,4,0,24,7
3056,11/7/2018,Dorsa,2,40,0,6,0,0,48
3057,11/7/2018,Eden Palms,1,40,0,1,1,43,0
3058,11/7/2018,Eden Youth,4,72,0,2,1,48,31
3059,11/7/2018,Educare,1,55,0,5,2,44,19
3060,11/7/2018,Emerald Vista,6,64,0,7,2,31,48
3061,11/7/2018,Esther Hobbs,1,48,1,5,0,55,0
3062,11/7/2018,FH,0,95,0,2,0,97,0
3063,11/7/2018,Foxdale,1,34,0,4,0,39,0
3064,11/7/2018,Glen Berry,0,28,0,2,0,22,8
3065,11/7/2018,Goss,4,30,0,9,0,0,43
3066,11/7/2018,Graham,0,52,0,4,0,24,32
3067,11/7/2018,Grant,1,40,0,6,0,0,47
3068,11/7/2018,Guy Emanuele,2,37,0,3,0,0,42
3069,11/7/2018,Hesperian,0,43,0,6,0,0,49
3070,11/7/2018,Hillview,0,45,0,3,0,0,48
3071,11/7/2018,Holbrook,0,73,2,4,1,47,33
3072,11/7/2018,Hubbard,0,51,2,5,0,0,58
3073,11/7/2018,Kitayama,1,38,0,5,0,0,44
3074,11/7/2018,Linda Vista,0,101,1,6,1,78,31
3075,11/7/2018,Logan,0,25,1,1,0,27,0
3076,11/7/2018,Marie Kaiser,0,19,0,4,1,24,0
3077,11/7/2018,Meadowfair,0,38,0,2,0,0,40
3078,11/7/2018,Meyer,1,37,1,4,0,0,43
3079,11/7/2018,Paul Miller,0,78,2,5,1,44,42
3080,11/7/2018,Pioneer,0,36,2,6,0,0,44
3081,11/7/2018,Reach,1,18,0,2,1,22,0
3082,11/7/2018,Royal Sunset,2,33,1,11,1,0,48
3083,11/7/2018,Russo,0,39,0,4,0,0,43
3084,11/7/2018,Ryan,0,21,0,1,0,22,0
3085,11/7/2018,Schilling,2,49,0,4,0,24,31
3086,11/7/2018,Searles,1,41,0,1,0,0,43
3087,11/7/2018,Sharon Jones,0,52,0,4,0,24,32
3088,11/7/2018,Unidos,0,41,2,1,0,44,0
3089,11/7/2018,Valley Medical Center,2,59,1,1,0,63,0
3090,11/7/2018,Washington Hospital,1,58,0,1,0,60,0
3091,11/8/2018,Amador,1,82,1,1,1,55,31
3092,11/8/2018,Arbuckle,3,71,1,10,0,54,31
3093,11/8/2018,Baldwin Park,1,64,1,14,0,48,32
3094,11/8/2018,Bay,0,42,0,5,0,0,47
3095,11/8/2018,Carlson,0,31,0,1,0,20,12
3096,11/8/2018,Castlemont,2,61,0,5,0,68,0
3097,11/8/2018,Cesar Chavez,2,80,2,11,1,0,96
3098,11/8/2018,Chynoweth,0,34,0,2,0,36,0
3099,11/8/2018,Colonial Acres,0,44,1,3,0,0,48
3100,11/8/2018,Corvallis,0,45,0,3,0,0,48
3101,11/8/2018,Cox,2,41,0,5,0,0,48
3102,11/8/2018,Cureton,1,50,0,12,0,0,63
3103,11/8/2018,Dayton,1,40,1,6,0,0,48
3104,11/8/2018,Decoto,5,94,0,4,1,65,39
3105,11/8/2018,Del Rey,0,44,0,2,0,0,46
3106,11/8/2018,Delaine Eastin,0,24,2,5,0,24,7
3107,11/8/2018,Dorsa,2,41,0,5,0,0,48
3108,11/8/2018,Eden Palms,2,38,0,5,1,46,0
3109,11/8/2018,Eden Youth,1,71,0,5,2,48,31
3110,11/8/2018,Educare,1,52,0,6,2,42,19
3111,11/8/2018,Emerald Vista,3,71,1,3,3,32,49
3112,11/8/2018,Esther Hobbs,1,44,0,4,0,49,0
3113,11/8/2018,FH,0,96,0,2,0,98,0
3114,11/8/2018,Foxdale,0,37,1,1,0,39,0
3115,11/8/2018,Glen Berry,0,28,1,2,0,23,8
3116,11/8/2018,Goss,1,37,0,5,0,0,43
3117,11/8/2018,Graham,0,52,0,4,0,24,32
3118,11/8/2018,Grant,2,42,0,3,0,0,47
3119,11/8/2018,Guy Emanuele,0,39,0,3,0,0,42
3120,11/8/2018,Hesperian,0,44,0,5,0,0,49
3121,11/8/2018,Hillview,0,42,1,5,0,0,48
3122,11/8/2018,Holbrook,0,71,1,7,1,47,33
3123,11/8/2018,Hubbard,0,49,2,7,0,0,58
3124,11/8/2018,Kitayama,2,37,0,5,0,0,44
3125,11/8/2018,Linda Vista,2,99,0,7,0,77,31
3126,11/8/2018,Logan,0,23,1,2,1,27,0
3127,11/8/2018,Marie Kaiser,0,20,0,3,1,24,0
3128,11/8/2018,Meadowfair,0,37,0,3,0,0,40
3129,11/8/2018,Meyer,0,37,1,5,0,0,43
3130,11/8/2018,Paul Miller,2,79,0,4,1,44,42
3131,11/8/2018,Pioneer,0,38,2,4,0,0,44
3132,11/8/2018,Reach,0,19,0,1,0,20,0
3133,11/8/2018,Royal Sunset,1,32,1,13,1,0,48
3134,11/8/2018,Russo,0,37,0,6,0,0,43
3135,11/8/2018,Ryan,0,19,0,2,0,21,0
3136,11/8/2018,Schilling,0,49,0,5,0,23,31
3137,11/8/2018,Searles,2,37,0,4,0,0,43
3138,11/8/2018,Sharon Jones,0,50,0,6,0,24,32
3139,11/8/2018,Unidos,0,43,1,0,0,44,0
3140,11/8/2018,Valley Medical Center,2,56,1,3,0,62,0
3141,11/8/2018,Washington Hospital,0,56,1,3,0,60,0
3142,11/9/2018,Amador,4,68,1,12,1,55,31
3143,11/9/2018,Arbuckle,3,70,1,10,0,53,31
3144,11/9/2018,Baldwin Park,2,63,0,15,0,48,32
3145,11/9/2018,Bay,0,37,0,10,0,0,47
3146,11/9/2018,Carlson,0,30,0,2,0,20,12
3147,11/9/2018,Castlemont,0,57,0,11,0,68,0
3148,11/9/2018,Cesar Chavez,4,68,2,21,1,0,96
3149,11/9/2018,Chynoweth,1,31,0,2,0,34,0
3150,11/9/2018,Colonial Acres,1,35,1,11,0,0,48
3151,11/9/2018,Corvallis,0,39,0,9,0,0,48
3152,11/9/2018,Cox,0,42,0,6,0,0,48
3153,11/9/2018,Cureton,1,44,0,18,0,0,63
3154,11/9/2018,Dayton,1,36,1,10,0,0,48
3155,11/9/2018,Decoto,3,93,0,8,0,65,39
3156,11/9/2018,Del Rey,0,39,0,7,0,0,46
3157,11/9/2018,Delaine Eastin,0,22,2,7,0,24,7
3158,11/9/2018,Dorsa,2,30,0,16,0,0,48
3159,11/9/2018,Eden Palms,2,33,0,5,2,42,0
3160,11/9/2018,Eden Youth,1,73,0,3,2,48,31
3161,11/9/2018,Educare,1,52,0,8,2,43,20
3162,11/9/2018,Emerald Vista,1,68,1,4,4,30,48
3163,11/9/2018,Esther Hobbs,1,51,0,3,0,55,0
3164,11/9/2018,FH,0,91,1,3,0,95,0
3165,11/9/2018,Foxdale,0,35,1,4,0,40,0
3166,11/9/2018,Glen Berry,0,25,1,3,0,21,8
3167,11/9/2018,Goss,0,33,0,10,0,0,43
3168,11/9/2018,Graham,0,49,1,6,0,24,32
3169,11/9/2018,Grant,2,36,0,8,0,0,46
3170,11/9/2018,Guy Emanuele,0,32,0,10,0,0,42
3171,11/9/2018,Hesperian,3,37,0,9,0,0,49
3172,11/9/2018,Hillview,1,42,0,5,0,0,48
3173,11/9/2018,Holbrook,0,62,1,15,1,46,33
3174,11/9/2018,Hubbard,0,45,2,11,0,0,58
3175,11/9/2018,Kitayama,3,30,0,11,0,0,44
3176,11/9/2018,Linda Vista,0,99,0,8,0,76,31
3177,11/9/2018,Logan,0,21,1,4,1,27,0
3178,11/9/2018,Marie Kaiser,0,20,0,3,1,24,0
3179,11/9/2018,Meadowfair,1,34,0,5,0,0,40
3180,11/9/2018,Meyer,0,36,1,6,0,0,43
3181,11/9/2018,Paul Miller,1,81,0,3,1,44,42
3182,11/9/2018,Pioneer,0,31,2,11,0,0,44
3183,11/9/2018,Reach,0,17,1,3,0,21,0
3184,11/9/2018,Royal Sunset,2,25,1,19,1,0,48
3185,11/9/2018,Russo,0,41,0,2,0,0,43
3186,11/9/2018,Ryan,0,21,0,1,0,22,0
3187,11/9/2018,Schilling,1,47,0,7,0,24,31
3188,11/9/2018,Searles,1,35,0,7,0,0,43
3189,11/9/2018,Sharon Jones,1,45,1,9,0,24,32
3190,11/9/2018,Unidos,0,38,1,4,0,43,0
3191,11/9/2018,Valley Medical Center,2,51,2,7,0,62,0
3192,11/9/2018,Washington Hospital,1,55,0,3,0,59,0
3193,12/10/2018,Amador,2,65,0,15,3,55,30
3194,12/10/2018,Arbuckle,0,44,2,7,0,53,0
3195,12/10/2018,Baldwin Park,0,69,1,7,0,45,32
3196,12/10/2018,Bay,0,36,0,12,0,0,48
3197,12/10/2018,Carlson,1,29,0,1,0,19,12
3198,12/10/2018,Castlemont,2,52,1,11,1,67,0
3199,12/10/2018,Cesar Chavez,2,71,1,20,0,0,94
3200,12/10/2018,Chynoweth,2,30,0,3,0,35,0
3201,12/10/2018,Colonial Acres,0,36,1,11,0,0,48
3202,12/10/2018,Corvallis,1,42,0,4,0,0,47
3203,12/10/2018,Cox,1,36,1,10,0,0,48
3204,12/10/2018,Cureton,0,15,2,15,0,0,32
3205,12/10/2018,Dayton,0,41,1,6,1,0,49
3206,12/10/2018,Decoto,3,87,0,13,1,66,38
3207,12/10/2018,Del Rey,0,38,1,7,2,0,48
3208,12/10/2018,Delaine Eastin,0,22,1,4,0,22,5
3209,12/10/2018,Dorsa,0,42,0,6,0,0,48
3210,12/10/2018,Eden Palms,1,38,0,4,0,43,0
3211,12/10/2018,Eden Youth,4,66,0,10,0,49,31
3212,12/10/2018,Educare,0,64,0,12,0,51,25
3213,12/10/2018,Emerald Vista,0,63,2,13,0,32,46
3214,12/10/2018,Esther Hobbs,2,44,3,4,1,54,0
3215,12/10/2018,FH,2,92,0,1,1,96,0
3216,12/10/2018,Foxdale,0,32,1,6,0,39,0
3217,12/10/2018,Glen Berry,1,27,0,2,0,23,7
3218,12/10/2018,Goss,0,33,0,11,0,0,44
3219,12/10/2018,Graham,1,49,1,5,0,24,32
3220,12/10/2018,Grant,1,37,0,9,0,0,47
3221,12/10/2018,Guy Emanuele,1,35,0,4,0,0,40
3222,12/10/2018,Hesperian,0,43,0,5,1,0,49
3223,12/10/2018,Hillview,0,45,0,3,0,0,48
3224,12/10/2018,Holbrook,2,62,6,10,0,48,32
3225,12/10/2018,Kitayama,1,34,0,9,0,0,44
3226,12/10/2018,Linda Vista,0,96,1,8,1,74,32
3227,12/10/2018,Logan,1,25,0,1,0,27,0
3228,12/10/2018,Marie Kaiser,0,19,1,2,0,22,0
3229,12/10/2018,Meadowfair,2,38,0,7,0,0,47
3230,12/10/2018,Meyer,1,35,0,7,0,0,43
3231,12/10/2018,Paul Miller,0,72,1,11,0,43,41
3232,12/10/2018,Pioneer,0,39,0,4,0,0,43
3233,12/10/2018,Reach,0,21,0,0,0,21,0
3234,12/10/2018,Royal Sunset,0,33,2,11,0,0,46
3235,12/10/2018,Russo,1,29,0,13,0,0,43
3236,12/10/2018,Ryan,0,21,0,3,0,24,0
3237,12/10/2018,Schilling,0,49,0,4,1,23,31
3238,12/10/2018,Searles,0,39,1,3,0,0,43
3239,12/10/2018,Sharon Jones,1,50,2,4,0,25,32
3240,12/10/2018,Unidos,0,37,0,7,0,44,0
3241,12/10/2018,Valley Medical Center,3,54,2,4,0,63,0
3242,12/10/2018,Washington Hospital,2,54,1,4,1,62,0
3243,12/11/2018,Amador,0,72,0,11,4,55,32
3244,12/11/2018,Arbuckle,0,68,2,15,0,54,31
3245,12/11/2018,Baldwin Park,0,73,1,6,0,48,32
3246,12/11/2018,Bay,0,40,0,8,0,0,48
3247,12/11/2018,Carlson,1,29,1,0,0,20,11
3248,12/11/2018,Castlemont,3,59,0,5,1,68,0
3249,12/11/2018,Cesar Chavez,1,76,0,16,0,0,93
3250,12/11/2018,Chynoweth,1,31,0,3,0,35,0
3251,12/11/2018,Colonial Acres,0,39,1,8,0,0,48
3252,12/11/2018,Corvallis,2,38,0,7,0,0,47
3253,12/11/2018,Cox,0,40,1,7,0,0,48
3254,12/11/2018,Cureton,1,49,2,12,0,0,64
3255,12/11/2018,Dayton,0,42,1,5,1,0,49
3256,12/11/2018,Decoto,7,87,1,6,3,66,38
3257,12/11/2018,Del Rey,0,40,1,5,2,0,48
3258,12/11/2018,Delaine Eastin,0,24,0,5,0,24,5
3259,12/11/2018,Dorsa,0,40,0,8,0,0,48
3260,12/11/2018,Eden Palms,0,37,0,7,0,44,0
3261,12/11/2018,Eden Youth,3,66,0,10,1,49,31
3262,12/11/2018,Educare,0,64,0,9,0,48,25
3263,12/11/2018,Emerald Vista,0,69,1,7,1,31,47
3264,12/11/2018,Esther Hobbs,0,47,2,1,0,50,0
3265,12/11/2018,FH,2,90,0,4,1,97,0
3266,12/11/2018,Foxdale,0,33,0,7,0,40,0
3267,12/11/2018,Glen Berry,0,27,0,4,0,24,7
3268,12/11/2018,Goss,0,34,0,10,0,0,44
3269,12/11/2018,Graham,4,50,0,2,0,24,32
3270,12/11/2018,Grant,1,39,0,8,0,0,48
3271,12/11/2018,Guy Emanuele,1,34,0,5,0,0,40
3272,12/11/2018,Hesperian,0,44,0,4,1,0,49
3273,12/11/2018,Hillview,0,43,0,5,0,0,48
3274,12/11/2018,Holbrook,1,66,2,10,1,48,32
3275,12/11/2018,Hubbard,2,50,0,5,0,0,57
3276,12/11/2018,Kitayama,1,36,0,7,0,0,44
3277,12/11/2018,Linda Vista,0,98,0,10,1,77,32
3278,12/11/2018,Logan,0,24,0,3,0,27,0
3279,12/11/2018,Marie Kaiser,0,20,1,1,0,22,0
3280,12/11/2018,Meadowfair,2,43,0,2,0,0,47
3281,12/11/2018,Meyer,1,37,0,5,0,0,43
3282,12/11/2018,Paul Miller,1,69,3,11,0,43,41
3283,12/11/2018,Pioneer,0,38,0,4,1,0,43
3284,12/11/2018,Reach,2,18,0,1,0,21,0
3285,12/11/2018,Royal Sunset,0,30,2,15,0,0,47
3286,12/11/2018,Russo,0,38,0,5,0,0,43
3287,12/11/2018,Ryan,0,22,0,2,0,24,0
3288,12/11/2018,Schilling,0,48,0,5,1,23,31
3289,12/11/2018,Searles,0,40,1,2,0,0,43
3290,12/11/2018,Sharon Jones,0,50,1,6,0,25,32
3291,12/11/2018,Unidos,0,38,0,5,0,43,0
3292,12/11/2018,Valley Medical Center,1,55,4,4,0,64,0
3293,12/11/2018,Washington Hospital,2,55,0,3,1,61,0
3294,12/12/2018,Amador,0,70,0,9,6,55,30
3295,12/12/2018,Arbuckle,0,69,0,13,0,51,31
3296,12/12/2018,Baldwin Park,0,70,2,8,0,48,32
3297,12/12/2018,Bay,0,40,0,8,0,0,48
3298,12/12/2018,Carlson,1,28,1,1,1,20,12
3299,12/12/2018,Castlemont,0,62,0,4,2,68,0
3300,12/12/2018,Cesar Chavez,2,74,0,15,2,0,93
3301,12/12/2018,Chynoweth,1,29,0,5,0,35,0
3302,12/12/2018,Colonial Acres,1,33,0,13,0,0,47
3303,12/12/2018,Corvallis,1,36,0,10,0,0,47
3304,12/12/2018,Cox,0,38,1,9,0,0,48
3305,12/12/2018,Cureton,1,49,2,12,0,0,64
3306,12/12/2018,Dayton,0,43,1,5,0,0,49
3307,12/12/2018,Decoto,2,90,1,10,1,66,38
3308,12/12/2018,Del Rey,0,43,3,2,0,0,48
3309,12/12/2018,Delaine Eastin,0,26,0,5,0,24,7
3310,12/12/2018,Dorsa,0,41,0,7,0,0,48
3311,12/12/2018,Eden Palms,0,41,0,2,0,43,0
3312,12/12/2018,Eden Youth,3,70,0,7,0,49,31
3313,12/12/2018,Educare,0,63,0,13,0,51,25
3314,12/12/2018,Emerald Vista,0,74,1,2,0,31,46
3315,12/12/2018,Esther Hobbs,1,46,4,2,0,53,0
3316,12/12/2018,FH,2,89,0,4,1,96,0
3317,12/12/2018,Foxdale,0,34,0,6,0,40,0
3318,12/12/2018,Glen Berry,0,26,0,4,0,23,7
3319,12/12/2018,Goss,1,36,0,7,0,0,44
3320,12/12/2018,Graham,2,49,1,3,1,24,32
3321,12/12/2018,Grant,0,41,0,6,0,0,47
3322,12/12/2018,Guy Emanuele,1,32,0,7,1,0,41
3323,12/12/2018,Hesperian,0,42,0,7,0,0,49
3324,12/12/2018,Hillview,0,44,0,3,1,0,48
3325,12/12/2018,Holbrook,0,69,1,9,1,48,32
3326,12/12/2018,Hubbard,2,48,0,7,0,0,57
3327,12/12/2018,Kitayama,2,34,0,8,0,0,44
3328,12/12/2018,Linda Vista,0,101,0,8,0,77,32
3329,12/12/2018,Logan,0,24,0,3,0,27,0
3330,12/12/2018,Marie Kaiser,0,18,1,3,0,22,0
3331,12/12/2018,Meadowfair,3,42,0,2,0,0,47
3332,12/12/2018,Meyer,1,37,0,6,0,0,44
3333,12/12/2018,Paul Miller,0,78,1,5,0,43,41
3334,12/12/2018,Pioneer,0,39,0,4,0,0,43
3335,12/12/2018,Reach,0,21,0,0,0,21,0
3336,12/12/2018,Royal Sunset,0,32,2,13,0,0,47
3337,12/12/2018,Russo,0,37,0,6,0,0,43
3338,12/12/2018,Ryan,0,20,0,4,0,24,0
3339,12/12/2018,Schilling,0,50,0,4,1,24,31
3340,12/12/2018,Searles,0,39,1,3,0,0,43
3341,12/12/2018,Sharon Jones,0,55,1,1,0,25,32
3342,12/12/2018,Unidos,0,37,1,6,0,44,0
3343,12/12/2018,Valley Medical Center,1,55,2,6,0,64,0
3344,12/12/2018,Washington Hospital,4,53,0,3,1,61,0
3345,12/13/2018,Amador,0,72,0,13,2,55,32
3346,12/13/2018,Arbuckle,3,70,0,10,0,52,31
3347,12/13/2018,Baldwin Park,2,69,3,6,0,48,32
3348,12/13/2018,Bay,0,37,0,11,0,0,48
3349,12/13/2018,Carlson,1,29,0,1,1,20,12
3350,12/13/2018,Castlemont,0,63,0,4,1,68,0
3351,12/13/2018,Cesar Chavez,2,68,0,23,0,0,93
3352,12/13/2018,Chynoweth,1,31,0,3,0,35,0
3353,12/13/2018,Colonial Acres,0,38,0,9,0,0,47
3354,12/13/2018,Corvallis,1,38,0,8,0,0,47
3355,12/13/2018,Cox,0,41,1,6,0,0,48
3356,12/13/2018,Cureton,1,49,2,12,0,0,64
