,AttendanceDate,Center,Best Interest,In Attendance,Other,Sick,Unexcused Absence,FD,PD,Total Attendance,Total Absence,Total,Attendance Rate
1221,10/12/2018,FH,0,92,0,4,1,97,0,92,5,97,0.9484536082474226
1222,10/15/2018,Amador,3,73,1,5,3,54,31,73,12,85,0.8588235294117647
1223,10/15/2018,Arbuckle,0,47,1,5,0,53,0,47,6,53,0.8867924528301887
1224,10/15/2018,Baldwin Park,2,65,0,8,0,43,32,65,10,75,0.8666666666666667
1225,10/15/2018,Bay,0,43,0,5,0,0,48,43,5,48,0.8958333333333334
1226,10/15/2018,Carlson,0,30,0,1,0,19,12,30,1,31,0.967741935483871
1227,10/15/2018,Castlemont,2,56,0,7,0,65,0,56,9,65,0.8615384615384616
1228,10/15/2018,Cesar Chavez,5,75,3,11,0,0,94,75,19,94,0.7978723404255319
1229,10/15/2018,Chynoweth,1,33,0,2,0,36,0,33,3,36,0.9166666666666666
1230,10/15/2018,Colonial Acres,0,40,2,4,0,0,46,40,6,46,0.8695652173913043
1231,10/15/2018,Corvallis,0,43,0,4,1,0,48,43,5,48,0.8958333333333334
1232,10/15/2018,Cox,0,39,0,8,1,0,48,39,9,48,0.8125
1233,10/15/2018,Cureton,0,23,0,6,0,0,29,23,6,29,0.7931034482758621
1234,10/15/2018,Dayton,0,47,0,1,0,0,48,47,1,48,0.9791666666666666
1235,10/15/2018,Decoto,3,91,2,9,0,65,40,91,14,105,0.8666666666666667
1236,10/15/2018,Del Rey,1,40,0,7,0,0,48,40,8,48,0.8333333333333334
1237,10/15/2018,Delaine Eastin,0,26,1,2,0,22,7,26,3,29,0.896551724137931
1238,10/15/2018,Dorsa,0,39,0,8,0,0,47,39,8,47,0.8297872340425532
1239,10/15/2018,Eden Palms,1,39,1,1,1,43,0,39,4,43,0.9069767441860465
1240,10/15/2018,Eden Youth,2,71,0,6,0,48,31,71,8,79,0.8987341772151899
1241,10/15/2018,Educare,2,42,2,3,0,27,22,42,7,49,0.8571428571428571
1242,10/15/2018,Emerald Vista,1,64,1,10,0,32,44,64,12,76,0.8421052631578947
1243,10/15/2018,Esther Hobbs,3,46,0,7,0,56,0,46,10,56,0.8214285714285714
1244,10/15/2018,FH,1,91,0,5,0,97,0,91,6,97,0.9381443298969072
1245,10/15/2018,Foxdale,2,29,2,3,0,36,0,29,7,36,0.8055555555555556
1246,10/15/2018,Glen Berry,0,27,0,2,1,23,7,27,3,30,0.9
1247,10/15/2018,Goss,1,37,0,4,0,0,42,37,5,42,0.8809523809523809
1248,10/15/2018,Graham,2,50,2,2,0,24,32,50,6,56,0.8928571428571429
1249,10/15/2018,Grant,1,39,0,7,0,0,47,39,8,47,0.8297872340425532
1250,10/15/2018,Guy Emanuele,0,40,0,1,0,0,41,40,1,41,0.975609756097561
1251,10/15/2018,Hesperian,0,43,0,6,0,0,49,43,6,49,0.8775510204081632
1252,10/15/2018,Hillview,2,43,0,2,1,0,48,43,5,48,0.8958333333333334
1253,10/15/2018,Holbrook,0,67,2,6,1,42,34,67,9,76,0.881578947368421
1254,10/15/2018,Kitayama,3,32,0,8,0,0,43,32,11,43,0.7441860465116279
1255,10/15/2018,Linda Vista,3,96,3,6,0,76,32,96,12,108,0.8888888888888888
1256,10/15/2018,Logan,2,23,1,1,0,27,0,23,4,27,0.8518518518518519
1257,10/15/2018,Marie Kaiser,1,20,0,1,0,22,0,20,2,22,0.9090909090909091
1258,10/15/2018,Meadowfair,1,38,1,1,0,0,41,38,3,41,0.926829268292683
1259,10/15/2018,Meyer,0,38,0,4,0,0,42,38,4,42,0.9047619047619048
1260,10/15/2018,Paul Miller,3,76,1,5,0,44,41,76,9,85,0.8941176470588236
1261,10/15/2018,Pioneer,0,40,0,4,0,0,44,40,4,44,0.9090909090909091
1262,10/15/2018,Reach,2,20,0,0,0,22,0,20,2,22,0.9090909090909091
1263,10/15/2018,Royal Sunset,0,37,0,9,0,0,46,37,9,46,0.8043478260869565
1264,10/15/2018,Russo,0,39,0,3,0,0,42,39,3,42,0.9285714285714286
1265,10/15/2018,Ryan,0,21,0,1,0,22,0,21,1,22,0.9545454545454546
1266,10/15/2018,Schilling,3,45,0,6,0,24,30,45,9,54,0.8333333333333334
1267,10/15/2018,Searles,0,42,0,2,0,0,44,42,2,44,0.9545454545454546
1268,10/15/2018,Sharon Jones,0,45,1,9,2,25,32,45,12,57,0.7894736842105263
1269,10/15/2018,Unidos,0,42,1,2,0,45,0,42,3,45,0.9333333333333333
1270,10/15/2018,Valley Medical Center,1,58,1,2,1,63,0,58,5,63,0.9206349206349206
1271,10/15/2018,Washington Hospital,0,58,1,1,0,60,0,58,2,60,0.9666666666666667
1272,10/16/2018,Amador,1,79,1,3,2,55,31,79,7,86,0.9186046511627907
1273,10/16/2018,Arbuckle,1,72,2,8,0,54,29,72,11,83,0.8674698795180723
1274,10/16/2018,Baldwin Park,0,73,1,3,1,46,32,73,5,78,0.9358974358974359
1275,10/16/2018,Bay,0,45,0,3,0,0,48,45,3,48,0.9375
1276,10/16/2018,Carlson,0,29,1,1,0,20,11,29,2,31,0.9354838709677419
1277,10/16/2018,Castlemont,2,57,0,8,0,67,0,57,10,67,0.8507462686567164
1278,10/16/2018,Cesar Chavez,2,80,3,10,0,0,95,80,15,95,0.8421052631578947
1279,10/16/2018,Chynoweth,0,31,0,5,0,36,0,31,5,36,0.8611111111111112
1280,10/16/2018,Colonial Acres,0,42,1,3,0,0,46,42,4,46,0.9130434782608695
1281,10/16/2018,Corvallis,0,40,0,7,1,0,48,40,8,48,0.8333333333333334
1282,10/16/2018,Cox,0,43,0,4,0,0,47,43,4,47,0.9148936170212766
1283,10/16/2018,Cureton,0,51,0,10,0,0,61,51,10,61,0.8360655737704918
1284,10/16/2018,Dayton,0,45,0,3,0,0,48,45,3,48,0.9375
1285,10/16/2018,Decoto,3,90,2,8,2,65,40,90,15,105,0.8571428571428571
1286,10/16/2018,Del Rey,1,41,0,6,0,0,48,41,7,48,0.8541666666666666
1287,10/16/2018,Delaine Eastin,0,28,1,2,0,24,7,28,3,31,0.9032258064516129
1288,10/16/2018,Dorsa,0,31,0,17,0,0,48,31,17,48,0.6458333333333334
1289,10/16/2018,Eden Palms,2,36,1,2,2,43,0,36,7,43,0.8372093023255814
1290,10/16/2018,Eden Youth,2,71,0,6,0,48,31,71,8,79,0.8987341772151899
1291,10/16/2018,Educare,1,40,1,3,1,24,22,40,6,46,0.8695652173913043
1292,10/16/2018,Emerald Vista,2,65,1,7,0,31,44,65,10,75,0.8666666666666667
1293,10/16/2018,Esther Hobbs,1,38,0,8,1,48,0,38,10,48,0.7916666666666666
1294,10/16/2018,FH,0,94,0,4,0,98,0,94,4,98,0.9591836734693877
1295,10/16/2018,Foxdale,2,30,3,3,0,38,0,30,8,38,0.7894736842105263
1296,10/16/2018,Glen Berry,0,28,0,2,1,24,7,28,3,31,0.9032258064516129
1297,10/16/2018,Goss,0,32,1,9,0,0,42,32,10,42,0.7619047619047619
1298,10/16/2018,Graham,1,48,1,5,1,24,32,48,8,56,0.8571428571428571
1299,10/16/2018,Grant,1,43,1,3,0,0,48,43,5,48,0.8958333333333334
1300,10/16/2018,Guy Emanuele,0,38,0,3,0,0,41,38,3,41,0.926829268292683
1301,10/16/2018,Hesperian,2,41,0,6,0,0,49,41,8,49,0.8367346938775511
1302,10/16/2018,Hillview,2,42,0,2,2,0,48,42,6,48,0.875
1303,10/16/2018,Holbrook,1,66,1,9,1,44,34,66,12,78,0.8461538461538461
1304,10/16/2018,Hubbard,0,50,0,7,0,0,57,50,7,57,0.8771929824561403
1305,10/16/2018,Kitayama,1,35,0,7,0,0,43,35,8,43,0.813953488372093
1306,10/16/2018,Linda Vista,2,104,1,4,0,79,32,104,7,111,0.9369369369369369
1307,10/16/2018,Logan,0,24,0,3,0,27,0,24,3,27,0.8888888888888888
1308,10/16/2018,Marie Kaiser,0,22,0,0,0,22,0,22,0,22,1.0
1309,10/16/2018,Meadowfair,0,39,1,0,1,0,41,39,2,41,0.9512195121951219
1310,10/16/2018,Meyer,0,38,0,4,0,0,42,38,4,42,0.9047619047619048
1311,10/16/2018,Paul Miller,0,77,2,6,0,44,41,77,8,85,0.9058823529411765
1312,10/16/2018,Pioneer,0,42,0,2,0,0,44,42,2,44,0.9545454545454546
1313,10/16/2018,Reach,2,19,0,1,0,22,0,19,3,22,0.8636363636363636
1314,10/16/2018,Royal Sunset,0,39,0,7,0,0,46,39,7,46,0.8478260869565217
1315,10/16/2018,Russo,0,37,0,5,0,0,42,37,5,42,0.8809523809523809
1316,10/16/2018,Ryan,0,21,0,1,0,22,0,21,1,22,0.9545454545454546
1317,10/16/2018,Schilling,2,47,0,5,0,23,31,47,7,54,0.8703703703703703
1318,10/16/2018,Searles,0,38,0,6,0,0,44,38,6,44,0.8636363636363636
1319,10/16/2018,Sharon Jones,0,53,1,3,0,25,32,53,4,57,0.9298245614035088
1320,10/16/2018,Unidos,0,42,1,1,0,44,0,42,2,44,0.9545454545454546
1321,10/16/2018,Valley Medical Center,0,59,2,2,1,64,0,59,5,64,0.921875
1322,10/16/2018,Washington Hospital,1,55,0,3,1,60,0,55,5,60,0.9166666666666666
1323,10/17/2018,Amador,1,76,0,6,3,55,31,76,10,86,0.8837209302325582
1324,10/17/2018,Arbuckle,3,70,2,7,1,54,29,70,13,83,0.8433734939759037
1325,10/17/2018,Baldwin Park,2,73,2,2,0,47,32,73,6,79,0.9240506329113924
1326,10/17/2018,Bay,1,43,0,4,0,0,48,43,5,48,0.8958333333333334
1327,10/17/2018,Carlson,0,31,0,1,0,20,12,31,1,32,0.96875
1328,10/17/2018,Castlemont,1,62,0,4,0,67,0,62,5,67,0.9253731343283582
1329,10/17/2018,Cesar Chavez,4,79,2,10,0,0,95,79,16,95,0.8315789473684211
1330,10/17/2018,Chynoweth,2,32,0,2,0,36,0,32,4,36,0.8888888888888888
1331,10/17/2018,Colonial Acres,0,38,1,7,0,0,46,38,8,46,0.8260869565217391
1332,10/17/2018,Corvallis,0,41,0,7,0,0,48,41,7,48,0.8541666666666666
1333,10/17/2018,Cox,0,42,0,5,0,0,47,42,5,47,0.8936170212765957
1334,10/17/2018,Cureton,0,53,0,9,0,0,62,53,9,62,0.8548387096774194
1335,10/17/2018,Dayton,1,47,0,0,0,0,48,47,1,48,0.9791666666666666
1336,10/17/2018,Decoto,3,91,2,9,0,65,40,91,14,105,0.8666666666666667
1337,10/17/2018,Del Rey,0,44,0,3,0,0,47,44,3,47,0.9361702127659575
1338,10/17/2018,Delaine Eastin,0,26,0,5,0,24,7,26,5,31,0.8387096774193549
1339,10/17/2018,Dorsa,0,43,0,5,0,0,48,43,5,48,0.8958333333333334
1340,10/17/2018,Eden Palms,1,38,1,2,1,43,0,38,5,43,0.8837209302325582
1341,10/17/2018,Eden Youth,1,75,0,3,0,48,31,75,4,79,0.9493670886075949
1342,10/17/2018,Educare,2,43,1,3,1,27,23,43,7,50,0.86
1343,10/17/2018,Emerald Vista,2,66,1,6,0,31,44,66,9,75,0.88
1344,10/17/2018,Esther Hobbs,2,44,2,8,0,56,0,44,12,56,0.7857142857142857
1345,10/17/2018,FH,0,93,0,4,0,97,0,93,4,97,0.9587628865979382
1346,10/17/2018,Foxdale,2,34,1,1,0,38,0,34,4,38,0.8947368421052632
1347,10/17/2018,Glen Berry,0,29,0,0,1,23,7,29,1,30,0.9666666666666667
1348,10/17/2018,Goss,0,37,1,4,0,0,42,37,5,42,0.8809523809523809
1349,10/17/2018,Graham,2,48,0,4,1,24,31,48,7,55,0.8727272727272727
1350,10/17/2018,Grant,1,43,0,3,0,0,47,43,4,47,0.9148936170212766
1351,10/17/2018,Guy Emanuele,0,38,0,4,0,0,42,38,4,42,0.9047619047619048
1352,10/17/2018,Hesperian,0,40,0,9,0,0,49,40,9,49,0.8163265306122449
1353,10/17/2018,Hillview,1,41,0,5,0,0,47,41,6,47,0.8723404255319149
1354,10/17/2018,Holbrook,2,71,1,3,1,44,34,71,7,78,0.9102564102564102
1355,10/17/2018,Hubbard,0,53,0,4,0,0,57,53,4,57,0.9298245614035088
1356,10/17/2018,Kitayama,0,34,0,9,0,0,43,34,9,43,0.7906976744186046
1357,10/17/2018,Linda Vista,2,100,1,8,0,79,32,100,11,111,0.9009009009009009
1358,10/17/2018,Logan,0,25,0,2,0,27,0,25,2,27,0.9259259259259259
1359,10/17/2018,Marie Kaiser,0,21,0,1,0,22,0,21,1,22,0.9545454545454546
1360,10/17/2018,Meadowfair,0,37,1,2,1,0,41,37,4,41,0.9024390243902439
1361,10/17/2018,Meyer,0,36,0,6,0,0,42,36,6,42,0.8571428571428571
1362,10/17/2018,Paul Miller,1,77,2,5,0,44,41,77,8,85,0.9058823529411765
1363,10/17/2018,Pioneer,0,41,0,3,0,0,44,41,3,44,0.9318181818181818
1364,10/17/2018,Reach,0,22,0,0,0,22,0,22,0,22,1.0
1365,10/17/2018,Royal Sunset,0,38,0,8,0,0,46,38,8,46,0.8260869565217391
1366,10/17/2018,Russo,0,38,0,4,0,0,42,38,4,42,0.9047619047619048
1367,10/17/2018,Ryan,0,21,0,1,0,22,0,21,1,22,0.9545454545454546
1368,10/17/2018,Schilling,1,50,0,4,0,24,31,50,5,55,0.9090909090909091
1369,10/17/2018,Searles,0,40,0,4,0,0,44,40,4,44,0.9090909090909091
1370,10/17/2018,Sharon Jones,0,53,1,3,0,25,32,53,4,57,0.9298245614035088
1371,10/17/2018,Unidos,0,41,2,2,0,45,0,41,4,45,0.9111111111111111
1372,10/17/2018,Valley Medical Center,0,59,1,3,1,64,0,59,5,64,0.921875
1373,10/17/2018,Washington Hospital,2,58,0,0,0,60,0,58,2,60,0.9666666666666667
1374,10/18/2018,Amador,1,75,0,5,5,55,31,75,11,86,0.872093023255814
1375,10/18/2018,Arbuckle,0,74,2,7,0,54,29,74,9,83,0.891566265060241
1376,10/18/2018,Baldwin Park,1,69,2,7,0,47,32,69,10,79,0.8734177215189873
1377,10/18/2018,Bay,1,42,0,5,0,0,48,42,6,48,0.875
1378,10/18/2018,Carlson,0,32,0,0,0,20,12,32,0,32,1.0
1379,10/18/2018,Castlemont,2,60,1,4,0,67,0,60,7,67,0.8955223880597015
1380,10/18/2018,Cesar Chavez,4,78,2,11,0,0,95,78,17,95,0.8210526315789474
1381,10/18/2018,Chynoweth,1,32,0,3,0,36,0,32,4,36,0.8888888888888888
1382,10/18/2018,Colonial Acres,0,38,1,7,0,0,46,38,8,46,0.8260869565217391
1383,10/18/2018,Corvallis,0,43,0,5,0,0,48,43,5,48,0.8958333333333334
1384,10/18/2018,Cox,1,40,0,6,0,0,47,40,7,47,0.851063829787234
1385,10/18/2018,Cureton,0,51,0,11,0,0,62,51,11,62,0.8225806451612904
1386,10/18/2018,Dayton,0,47,0,1,0,0,48,47,1,48,0.9791666666666666
1387,10/18/2018,Decoto,0,98,0,5,1,65,39,98,6,104,0.9423076923076923
1388,10/18/2018,Del Rey,0,41,0,6,0,0,47,41,6,47,0.8723404255319149
1389,10/18/2018,Delaine Eastin,1,26,2,2,0,24,7,26,5,31,0.8387096774193549
1390,10/18/2018,Dorsa,2,40,0,6,0,0,48,40,8,48,0.8333333333333334
1391,10/18/2018,Eden Palms,0,37,1,5,1,44,0,37,7,44,0.8409090909090909
1392,10/18/2018,Eden Youth,0,69,0,8,2,48,31,69,10,79,0.8734177215189873
1393,10/18/2018,Educare,2,43,2,2,0,26,23,43,6,49,0.8775510204081632
1394,10/18/2018,Emerald Vista,5,65,1,5,0,32,44,65,11,76,0.8552631578947368
1395,10/18/2018,Esther Hobbs,0,46,0,2,0,48,0,46,2,48,0.9583333333333334
1396,10/18/2018,FH,1,95,0,2,0,98,0,95,3,98,0.9693877551020408
1397,10/18/2018,Foxdale,2,28,6,2,0,38,0,28,10,38,0.7368421052631579
1398,10/18/2018,Glen Berry,1,29,0,0,1,24,7,29,2,31,0.9354838709677419
1399,10/18/2018,Goss,0,36,1,5,0,0,42,36,6,42,0.8571428571428571
1400,10/18/2018,Graham,1,48,1,4,1,24,31,48,7,55,0.8727272727272727
1401,10/18/2018,Grant,1,43,0,3,0,0,47,43,4,47,0.9148936170212766
1402,10/18/2018,Guy Emanuele,1,33,0,8,0,0,42,33,9,42,0.7857142857142857
1403,10/18/2018,Hesperian,1,45,0,3,0,0,49,45,4,49,0.9183673469387755
1404,10/18/2018,Hillview,1,40,0,4,2,0,47,40,7,47,0.851063829787234
1405,10/18/2018,Holbrook,4,69,1,3,1,44,34,69,9,78,0.8846153846153846
1406,10/18/2018,Hubbard,0,48,0,10,0,0,58,48,10,58,0.8275862068965517
1407,10/18/2018,Kitayama,0,38,0,5,0,0,43,38,5,43,0.8837209302325582
1408,10/18/2018,Linda Vista,2,102,1,6,0,78,33,102,9,111,0.918918918918919
1409,10/18/2018,Logan,0,26,0,1,0,27,0,26,1,27,0.9629629629629629
1410,10/18/2018,Marie Kaiser,1,19,0,2,0,22,0,19,3,22,0.8636363636363636
1411,10/18/2018,Meadowfair,0,35,4,1,1,0,41,35,6,41,0.8536585365853658
1412,10/18/2018,Meyer,0,36,0,6,0,0,42,36,6,42,0.8571428571428571
1413,10/18/2018,Paul Miller,0,77,1,7,0,44,41,77,8,85,0.9058823529411765
1414,10/18/2018,Pioneer,0,43,0,1,0,0,44,43,1,44,0.9772727272727273
1415,10/18/2018,Reach,0,19,0,1,1,21,0,19,2,21,0.9047619047619048
1416,10/18/2018,Royal Sunset,2,39,0,5,0,0,46,39,7,46,0.8478260869565217
1417,10/18/2018,Russo,0,33,0,9,0,0,42,33,9,42,0.7857142857142857
1418,10/18/2018,Ryan,0,21,0,0,0,21,0,21,0,21,1.0
1419,10/18/2018,Schilling,0,47,0,7,0,23,31,47,7,54,0.8703703703703703
1420,10/18/2018,Searles,0,39,0,5,0,0,44,39,5,44,0.8863636363636364
1421,10/18/2018,Sharon Jones,0,55,1,2,0,25,33,55,3,58,0.9482758620689655
1422,10/18/2018,Unidos,0,40,1,4,0,45,0,40,5,45,0.8888888888888888
1423,10/18/2018,Valley Medical Center,0,57,3,2,1,63,0,57,6,63,0.9047619047619048
1424,10/18/2018,Washington Hospital,1,56,0,3,0,60,0,56,4,60,0.9333333333333333
1425,10/19/2018,Amador,1,73,2,8,2,55,31,73,13,86,0.8488372093023255
1426,10/19/2018,Arbuckle,1,70,2,9,0,53,29,70,12,82,0.8536585365853658
1427,10/19/2018,Baldwin Park,2,69,1,7,0,47,32,69,10,79,0.8734177215189873
1428,10/19/2018,Bay,1,40,0,7,0,0,48,40,8,48,0.8333333333333334
1429,10/19/2018,Carlson,0,27,1,4,0,20,12,27,5,32,0.84375
1430,10/19/2018,Castlemont,1,61,0,6,0,68,0,61,7,68,0.8970588235294118
1431,10/19/2018,Cesar Chavez,3,83,2,7,0,0,95,83,12,95,0.8736842105263158
1432,10/19/2018,Chynoweth,0,31,0,2,1,34,0,31,3,34,0.9117647058823529
1433,10/19/2018,Colonial Acres,0,38,1,7,0,0,46,38,8,46,0.8260869565217391
1434,10/19/2018,Corvallis,0,46,0,2,0,0,48,46,2,48,0.9583333333333334
1435,10/19/2018,Cox,3,34,0,10,0,0,47,34,13,47,0.723404255319149
1436,10/19/2018,Cureton,0,50,1,11,0,0,62,50,12,62,0.8064516129032258
1437,10/19/2018,Dayton,0,42,0,6,0,0,48,42,6,48,0.875
1438,10/19/2018,Decoto,2,93,1,8,0,65,39,93,11,104,0.8942307692307693
1439,10/19/2018,Del Rey,0,41,0,6,0,0,47,41,6,47,0.8723404255319149
1440,10/19/2018,Delaine Eastin,1,22,4,4,0,24,7,22,9,31,0.7096774193548387
1441,10/19/2018,Dorsa,1,35,0,12,0,0,48,35,13,48,0.7291666666666666
1442,10/19/2018,Eden Palms,0,35,1,5,1,42,0,35,7,42,0.8333333333333334
1443,10/19/2018,Eden Youth,1,71,0,6,1,48,31,71,8,79,0.8987341772151899
1444,10/19/2018,Educare,3,40,3,5,0,28,23,40,11,51,0.7843137254901961
1445,10/19/2018,Emerald Vista,4,56,1,13,0,30,44,56,18,74,0.7567567567567568
1446,10/19/2018,Esther Hobbs,1,45,0,8,1,55,0,45,10,55,0.8181818181818182
1447,10/19/2018,FH,1,92,0,3,0,96,0,92,4,96,0.9583333333333334
1448,10/19/2018,Foxdale,1,28,3,5,0,37,0,28,9,37,0.7567567567567568
1449,10/19/2018,Glen Berry,1,26,0,0,2,22,7,26,3,29,0.896551724137931
1450,10/19/2018,Goss,0,36,1,5,0,0,42,36,6,42,0.8571428571428571
1451,10/19/2018,Graham,2,49,1,2,1,24,31,49,6,55,0.8909090909090909
1452,10/19/2018,Grant,1,36,0,9,0,0,46,36,10,46,0.782608695652174
1453,10/19/2018,Guy Emanuele,1,35,0,6,0,0,42,35,7,42,0.8333333333333334
1454,10/19/2018,Hesperian,2,39,0,8,0,0,49,39,10,49,0.7959183673469388
1455,10/19/2018,Hillview,1,41,0,5,0,0,47,41,6,47,0.8723404255319149
1456,10/19/2018,Holbrook,2,68,1,5,1,43,34,68,9,77,0.8831168831168831
1457,10/19/2018,Hubbard,0,50,0,8,0,0,58,50,8,58,0.8620689655172413
1458,10/19/2018,Kitayama,0,33,0,10,0,0,43,33,10,43,0.7674418604651163
1459,10/19/2018,Linda Vista,5,102,1,2,0,77,33,102,8,110,0.9272727272727272
1460,10/19/2018,Logan,0,23,0,3,1,27,0,23,4,27,0.8518518518518519
1461,10/19/2018,Marie Kaiser,1,19,0,2,0,22,0,19,3,22,0.8636363636363636
1462,10/19/2018,Meadowfair,0,36,2,2,1,0,41,36,5,41,0.8780487804878049
1463,10/19/2018,Meyer,0,32,0,10,0,0,42,32,10,42,0.7619047619047619
1464,10/19/2018,Paul Miller,2,77,2,4,0,44,41,77,8,85,0.9058823529411765
1465,10/19/2018,Pioneer,0,40,0,4,0,0,44,40,4,44,0.9090909090909091
1466,10/19/2018,Reach,0,17,1,3,0,21,0,17,4,21,0.8095238095238095
1467,10/19/2018,Royal Sunset,0,35,0,11,0,0,46,35,11,46,0.7608695652173914
1468,10/19/2018,Russo,0,33,0,8,0,0,41,33,8,41,0.8048780487804879
1469,10/19/2018,Ryan,0,20,0,2,0,22,0,20,2,22,0.9090909090909091
1470,10/19/2018,Schilling,0,51,0,4,0,24,31,51,4,55,0.9272727272727272
1471,10/19/2018,Searles,0,38,0,6,0,0,44,38,6,44,0.8636363636363636
1472,10/19/2018,Sharon Jones,3,48,1,5,1,25,33,48,10,58,0.8275862068965517
1473,10/19/2018,Unidos,0,36,1,7,0,44,0,36,8,44,0.8181818181818182
1474,10/19/2018,Valley Medical Center,0,58,1,3,1,63,0,58,5,63,0.9206349206349206
1475,10/19/2018,Washington Hospital,1,55,0,3,0,59,0,55,4,59,0.9322033898305084
1476,10/2/2018,Amador,2,66,0,12,3,54,29,66,17,83,0.7951807228915663
1477,10/2/2018,Arbuckle,1,69,1,11,0,55,27,69,13,82,0.8414634146341463
1478,10/2/2018,Baldwin Park,7,67,0,3,1,46,32,67,11,78,0.8589743589743589
1479,10/2/2018,Bay,0,42,0,6,0,0,48,42,6,48,0.875
1480,10/2/2018,Carlson,0,31,0,1,0,20,12,31,1,32,0.96875
1481,10/2/2018,Castlemont,1,56,1,8,0,66,0,56,10,66,0.8484848484848485
1482,10/2/2018,Cesar Chavez,4,83,2,5,0,0,94,83,11,94,0.8829787234042553
1483,10/2/2018,Chynoweth,1,31,0,3,0,35,0,31,4,35,0.8857142857142857
1484,10/2/2018,Colonial Acres,1,42,0,3,0,0,46,42,4,46,0.9130434782608695
1485,10/2/2018,Corvallis,1,45,0,2,0,0,48,45,3,48,0.9375
1486,10/2/2018,Cox,2,40,0,5,1,0,48,40,8,48,0.8333333333333334
1487,10/2/2018,Cureton,0,51,0,7,0,0,58,51,7,58,0.8793103448275862
1488,10/2/2018,Dayton,0,42,0,6,0,0,48,42,6,48,0.875
1489,10/2/2018,Decoto,3,96,1,6,0,65,41,96,10,106,0.9056603773584906
1490,10/2/2018,Del Rey,1,43,0,3,0,0,47,43,4,47,0.9148936170212766
1491,10/2/2018,Delaine Eastin,0,29,1,1,0,24,7,29,2,31,0.9354838709677419
1492,10/2/2018,Dorsa,0,41,2,4,0,0,47,41,6,47,0.8723404255319149
1493,10/2/2018,Eden Palms,2,39,1,3,0,45,0,39,6,45,0.8666666666666667
1494,10/2/2018,Eden Youth,0,70,0,8,0,47,31,70,8,78,0.8974358974358975
1495,10/2/2018,Educare,1,42,2,2,1,25,23,42,6,48,0.875
1496,10/2/2018,Emerald Vista,0,66,1,8,0,31,44,66,9,75,0.88
1497,10/2/2018,Esther Hobbs,2,43,0,4,1,50,0,43,7,50,0.86
1498,10/2/2018,FH,2,92,0,5,0,99,0,92,7,99,0.9292929292929293
1499,10/2/2018,Foxdale,0,34,0,1,0,35,0,34,1,35,0.9714285714285714
1500,10/2/2018,Glen Berry,1,27,0,2,1,24,7,27,4,31,0.8709677419354839
1501,10/2/2018,Goss,2,35,0,5,0,0,42,35,7,42,0.8333333333333334
1502,10/2/2018,Graham,1,52,0,0,1,24,30,52,2,54,0.9629629629629629
1503,10/2/2018,Grant,0,44,0,4,0,0,48,44,4,48,0.9166666666666666
1504,10/2/2018,Guy Emanuele,0,37,0,3,1,0,41,37,4,41,0.9024390243902439
1505,10/2/2018,Hesperian,0,43,0,6,0,0,49,43,6,49,0.8775510204081632
1506,10/2/2018,Hillview,1,41,0,5,0,0,47,41,6,47,0.8723404255319149
1507,10/2/2018,Holbrook,2,60,2,7,0,39,32,60,11,71,0.8450704225352113
1508,10/2/2018,Hubbard,0,52,1,4,0,0,57,52,5,57,0.9122807017543859
1509,10/2/2018,Kitayama,0,39,0,4,0,0,43,39,4,43,0.9069767441860465
1510,10/2/2018,Linda Vista,4,101,1,6,0,80,32,101,11,112,0.9017857142857143
1511,10/2/2018,Logan,0,25,0,3,0,28,0,25,3,28,0.8928571428571429
1512,10/2/2018,Marie Kaiser,1,16,0,4,0,21,0,16,5,21,0.7619047619047619
1513,10/2/2018,Meadowfair,2,34,0,3,0,0,39,34,5,39,0.8717948717948718
1514,10/2/2018,Meyer,0,39,0,2,2,0,43,39,4,43,0.9069767441860465
1515,10/2/2018,Paul Miller,0,78,0,6,0,44,40,78,6,84,0.9285714285714286
1516,10/2/2018,Pioneer,1,35,1,7,0,0,44,35,9,44,0.7954545454545454
1517,10/2/2018,Reach,2,20,0,0,0,22,0,20,2,22,0.9090909090909091
1518,10/2/2018,Royal Sunset,1,40,0,2,0,0,43,40,3,43,0.9302325581395349
1519,10/2/2018,Russo,0,34,3,7,0,0,44,34,10,44,0.7727272727272727
1520,10/2/2018,Ryan,1,19,0,1,2,23,0,19,4,23,0.8260869565217391
1521,10/2/2018,Schilling,0,49,2,3,1,23,32,49,6,55,0.8909090909090909
1522,10/2/2018,Searles,0,39,0,4,0,0,43,39,4,43,0.9069767441860465
1523,10/2/2018,Sharon Jones,3,51,0,1,0,24,31,51,4,55,0.9272727272727272
1524,10/2/2018,Unidos,0,40,0,3,0,43,0,40,3,43,0.9302325581395349
1525,10/2/2018,Valley Medical Center,3,58,1,1,1,64,0,58,6,64,0.90625
1526,10/2/2018,Washington Hospital,0,58,0,0,0,58,0,58,0,58,1.0
1527,10/22/2018,Amador,0,75,0,7,4,55,31,75,11,86,0.872093023255814
1528,10/22/2018,Arbuckle,0,44,1,8,0,53,0,44,9,53,0.8301886792452831
1529,10/22/2018,Baldwin Park,1,66,1,8,0,44,32,66,10,76,0.868421052631579
1530,10/22/2018,Bay,3,37,0,8,0,0,48,37,11,48,0.7708333333333334
1531,10/22/2018,Carlson,0,26,2,4,0,20,12,26,6,32,0.8125
1532,10/22/2018,Castlemont,2,57,0,6,0,65,0,57,8,65,0.8769230769230769
